tea_id,tea_name,efficacies,efficacies_korean,score_average,score_count
23,동과차,"[{""efficacy_id"": ""AAAK""}, {""efficacy_id"": ""AAAQ""}, {""efficacy_id"": ""AAAR""}, {""efficacy_id"": ""AABC""}, {""efficacy_id"": ""AACE""}, {""efficacy_id"": ""AADE""}, {""efficacy_id"": ""AADF""}]","[{""efficacy_name"": ""기관지건강""}, {""efficacy_name"": ""다이어트""}, {""efficacy_name"": ""당뇨병예방""}, {""efficacy_name"": ""부종개선""}, {""efficacy_name"": ""심혈관질환예방""}, {""efficacy_name"": ""피로회복""}, {""efficacy_name"": ""피부미용노화방지""}]",4.77,1295
24,돼지감자차,"[{""efficacy_id"": ""AAAG""}, {""efficacy_id"": ""AAAQ""}, {""efficacy_id"": ""AAAR""}, {""efficacy_id"": ""AAAS""}, {""efficacy_id"": ""AABQ""}, {""efficacy_id"": ""AACR""}, {""efficacy_id"": ""AACV""}, {""efficacy_id"": ""AACZ""}, {""efficacy_id"": ""AADE""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADH""}, {""efficacy_id"": ""AADK""}, {""efficacy_id"": ""AADR""}, {""efficacy_id"": ""AADV""}]","[{""efficacy_name"": ""고혈압혈당강하""}, {""efficacy_name"": ""다이어트""}, {""efficacy_name"": ""당뇨병예방""}, {""efficacy_name"": ""돌연변이억제""}, {""efficacy_name"": ""수렴작용""}, {""efficacy_name"": ""진정작용""}, {""efficacy_name"": ""체내의중금속제거""}, {""efficacy_name"": ""콜레스테롤수치감소""}, {""efficacy_name"": ""피로회복""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""항바이러스""}, {""efficacy_name"": ""항산화작용""}, {""efficacy_name"": ""혈관노폐물제거""}, {""efficacy_name"": ""활성산소제거""}]",2.63,1148
25,두충차,"[{""efficacy_id"": ""AAAB""}, {""efficacy_id"": ""AAAF""}, {""efficacy_id"": ""AAAG""}, {""efficacy_id"": ""AAAI""}, {""efficacy_id"": ""AAAV""}, {""efficacy_id"": ""AAAW""}, {""efficacy_id"": ""AACK""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADI""}]","[{""efficacy_name"": ""간에좋음""}, {""efficacy_name"": ""고지혈증개선""}, {""efficacy_name"": ""고혈압혈당강하""}, {""efficacy_name"": ""관절염""}, {""efficacy_name"": ""류마티즘""}, {""efficacy_name"": ""면역기능상승""}, {""efficacy_name"": ""이뇨작용""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""항변이원성""}]",2.72,368
26,두향차,"[{""efficacy_id"": ""AAAL""}, {""efficacy_id"": ""AABA""}, {""efficacy_id"": ""AABL""}]","[{""efficacy_name"": ""기력회복""}, {""efficacy_name"": ""변비개선장운동""}, {""efficacy_name"": ""성장촉진""}]",4.69,290
27,둥굴레차,"[{""efficacy_id"": ""AAAE""}, {""efficacy_id"": ""AAAL""}, {""efficacy_id"": ""AAAP""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADL""}, {""efficacy_id"": ""AADM""}, {""efficacy_id"": ""AADQ""}, {""efficacy_id"": ""AADR""}]","[{""efficacy_name"": ""거담작용""}, {""efficacy_name"": ""기력회복""}, {""efficacy_name"": ""눈건강""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""항암작용""}, {""efficacy_name"": ""항염작용""}, {""efficacy_name"": ""향균작용""}, {""efficacy_name"": ""혈관노폐물제거""}]",3.4,57
28,들깨차,"[{""efficacy_id"": ""AAAT""}, {""efficacy_id"": ""AABH""}, {""efficacy_id"": ""AABM""}, {""efficacy_id"": ""AACE""}, {""efficacy_id"": ""AADF""}]","[{""efficacy_name"": ""동맥경화억제""}, {""efficacy_name"": ""뼈튼튼""}, {""efficacy_name"": ""세포손상방지""}, {""efficacy_name"": ""심혈관질환예방""}, {""efficacy_name"": ""피부미용노화방지""}]",3.18,1182
29,딸기차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AAAX""}, {""efficacy_id"": ""AACD""}, {""efficacy_id"": ""AACY""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADL""}, {""efficacy_id"": ""AADM""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""발기부전""}, {""efficacy_name"": ""심장질환예방""}, {""efficacy_name"": ""치매예방""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""항암작용""}, {""efficacy_name"": ""항염작용""}]",3.17,1096
30,레몬차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AAAG""}, {""efficacy_id"": ""AAAH""}, {""efficacy_id"": ""AAAT""}, {""efficacy_id"": ""AACZ""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADT""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""고혈압혈당강하""}, {""efficacy_name"": ""고혈압혈압강하""}, {""efficacy_name"": ""동맥경화억제""}, {""efficacy_name"": ""콜레스테롤수치감소""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""혈액순환""}]",4.72,446
31,루이보스차,"[{""efficacy_id"": ""AAAR""}, {""efficacy_id"": ""AABD""}, {""efficacy_id"": ""AABP""}, {""efficacy_id"": ""AACD""}, {""efficacy_id"": ""AADL""}]","[{""efficacy_name"": ""당뇨병예방""}, {""efficacy_name"": ""불면증예방""}, {""efficacy_name"": ""소화불량해소""}, {""efficacy_name"": ""심장질환예방""}, {""efficacy_name"": ""항암작용""}]",3.95,1421
32,마늘차,"[{""efficacy_id"": ""AAAC""}, {""efficacy_id"": ""AAAP""}, {""efficacy_id"": ""AAAQ""}, {""efficacy_id"": ""AAAT""}, {""efficacy_id"": ""AABG""}, {""efficacy_id"": ""AABL""}, {""efficacy_id"": ""AABT""}, {""efficacy_id"": ""AABV""}, {""efficacy_id"": ""AACE""}, {""efficacy_id"": ""AACZ""}, {""efficacy_id"": ""AADF""}, {""efficacy_id"": ""AADS""}, {""efficacy_id"": ""AADT""}]","[{""efficacy_name"": ""감기예방""}, {""efficacy_name"": ""눈건강""}, {""efficacy_name"": ""다이어트""}, {""efficacy_name"": ""동맥경화억제""}, {""efficacy_name"": ""빈혈예방""}, {""efficacy_name"": ""성장촉진""}, {""efficacy_name"": ""스트레스완화""}, {""efficacy_name"": ""신경세포강화""}, {""efficacy_name"": ""심혈관질환예방""}, {""efficacy_name"": ""콜레스테롤수치감소""}, {""efficacy_name"": ""피부미용노화방지""}, {""efficacy_name"": ""혈관이완""}, {""efficacy_name"": ""혈액순환""}]",4.61,71
